LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
IRL,TERMTRADE,TOT,RT,A,2009,100.9179109,
IRL,TERMTRADE,TOT,RT,A,2010,97.53699204,
IRL,TERMTRADE,TOT,RT,A,2011,99.44509158,
IRL,TERMTRADE,TOT,RT,A,2012,97.69478836,
IRL,TERMTRADE,TOT,RT,A,2013,97.56534895,
IRL,TERMTRADE,TOT,RT,A,2014,95.57740483,
IRL,TERMTRADE,TOT,RT,A,2015,100,
IRL,TERMTRADE,TOT,RT,A,2016,99.74083381,
IRL,TERMTRADE,TOT,RT,A,2017,98.34739082,
IRL,TERMTRADE,TOT,RT,A,2018,97.0301865,
IRL,TERMTRADE,TOT,RT,A,2019,97.42676882,
ITA,TERMTRADE,TOT,RT,A,1999,105.7939766,
ITA,TERMTRADE,TOT,RT,A,2000,100.0384346,
ITA,TERMTRADE,TOT,RT,A,2001,101.5921846,
ITA,TERMTRADE,TOT,RT,A,2002,103.1338624,
ITA,TERMTRADE,TOT,RT,A,2003,104.032519,
ITA,TERMTRADE,TOT,RT,A,2004,103.0317875,
ITA,TERMTRADE,TOT,RT,A,2005,100.3177125,
ITA,TERMTRADE,TOT,RT,A,2006,97.33950811,
ITA,TERMTRADE,TOT,RT,A,2007,98.46969412,
ITA,TERMTRADE,TOT,RT,A,2008,96.06649873,
ITA,TERMTRADE,TOT,RT,A,2009,101.64393,
ITA,TERMTRADE,TOT,RT,A,2010,97.60525255,
ITA,TERMTRADE,TOT,RT,A,2011,95.05412348,
ITA,TERMTRADE,TOT,RT,A,2012,93.70232792,
ITA,TERMTRADE,TOT,RT,A,2013,95.2804268,
ITA,TERMTRADE,TOT,RT,A,2014,97.73154812,
ITA,TERMTRADE,TOT,RT,A,2015,100,
ITA,TERMTRADE,TOT,RT,A,2016,103.2530936,
ITA,TERMTRADE,TOT,RT,A,2017,101.7230089,
ITA,TERMTRADE,TOT,RT,A,2018,100.9488081,
ITA,TERMTRADE,TOT,RT,A,2019,101.7173423,
LUX,TERMTRADE,TOT,RT,A,1999,96.44601558,
LUX,TERMTRADE,TOT,RT,A,2000,94.65577828,
LUX,TERMTRADE,TOT,RT,A,2001,94.34342196,
LUX,TERMTRADE,TOT,RT,A,2002,94.86021202,
LUX,TERMTRADE,TOT,RT,A,2003,95.8779729,
LUX,TERMTRADE,TOT,RT,A,2004,95.68036884,
LUX,TERMTRADE,TOT,RT,A,2005,95.39657129,
LUX,TERMTRADE,TOT,RT,A,2006,97.40074644,
LUX,TERMTRADE,TOT,RT,A,2007,96.27929984,
LUX,TERMTRADE,TOT,RT,A,2008,97.56229514,
LUX,TERMTRADE,TOT,RT,A,2009,99.1301474,
LUX,TERMTRADE,TOT,RT,A,2010,99.79999507,
LUX,TERMTRADE,TOT,RT,A,2011,100.3360182,
LUX,TERMTRADE,TOT,RT,A,2012,100.2909367,
LUX,TERMTRADE,TOT,RT,A,2013,100.3172413,
LUX,TERMTRADE,TOT,RT,A,2014,101.0908161,
LUX,TERMTRADE,TOT,RT,A,2015,100,
LUX,TERMTRADE,TOT,RT,A,2016,100.5081358,
LUX,TERMTRADE,TOT,RT,A,2017,99.85085866,
LUX,TERMTRADE,TOT,RT,A,2018,100.0838444,
LUX,TERMTRADE,TOT,RT,A,2019,100.4213932,
NLD,TERMTRADE,TOT,RT,A,1999,99.28986609,
NLD,TERMTRADE,TOT,RT,A,2000,99.21866964,
NLD,TERMTRADE,TOT,RT,A,2001,100.699517,
NLD,TERMTRADE,TOT,RT,A,2002,101.4772697,
NLD,TERMTRADE,TOT,RT,A,2003,101.4944167,
NLD,TERMTRADE,TOT,RT,A,2004,101.0545368,
NLD,TERMTRADE,TOT,RT,A,2005,101.3575227,
NLD,TERMTRADE,TOT,RT,A,2006,101.4741103,
NLD,TERMTRADE,TOT,RT,A,2007,101.1954571,
NLD,TERMTRADE,TOT,RT,A,2008,101.0331895,
NLD,TERMTRADE,TOT,RT,A,2009,101.9202225,
NLD,TERMTRADE,TOT,RT,A,2010,100.1120421,
NLD,TERMTRADE,TOT,RT,A,2011,98.57453677,
NLD,TERMTRADE,TOT,RT,A,2012,98.60034019,
NLD,TERMTRADE,TOT,RT,A,2013,98.96891073,
NLD,TERMTRADE,TOT,RT,A,2014,98.88486799,
NLD,TERMTRADE,TOT,RT,A,2015,100,
NLD,TERMTRADE,TOT,RT,A,2016,100.5781969,
NLD,TERMTRADE,TOT,RT,A,2017,100.3525324,
NLD,TERMTRADE,TOT,RT,A,2018,100.216486,
NLD,TERMTRADE,TOT,RT,A,2019,100.8107315,E
PRT,TERMTRADE,TOT,RT,A,1999,95.51316245,
PRT,TERMTRADE,TOT,RT,A,2000,92.83578592,
PRT,TERMTRADE,TOT,RT,A,2001,92.94683502,
PRT,TERMTRADE,TOT,RT,A,2002,94.60177668,
PRT,TERMTRADE,TOT,RT,A,2003,94.85947161,
PRT,TERMTRADE,TOT,RT,A,2004,94.53725168,
PRT,TERMTRADE,TOT,RT,A,2005,93.47556149,
PRT,TERMTRADE,TOT,RT,A,2006,94.10639558,
PRT,TERMTRADE,TOT,RT,A,2007,94.54058845,
PRT,TERMTRADE,TOT,RT,A,2008,92.34729624,
PRT,TERMTRADE,TOT,RT,A,2009,96.81336012,
PRT,TERMTRADE,TOT,RT,A,2010,95.47086873,
PRT,TERMTRADE,TOT,RT,A,2011,93.71174411,
PRT,TERMTRADE,TOT,RT,A,2012,94.33086257,
PRT,TERMTRADE,TOT,RT,A,2013,95.98062673,
PRT,TERMTRADE,TOT,RT,A,2014,96.91524197,
PRT,TERMTRADE,TOT,RT,A,2015,100,
PRT,TERMTRADE,TOT,RT,A,2016,101.6263111,
PRT,TERMTRADE,TOT,RT,A,2017,100.8323119,
PRT,TERMTRADE,TOT,RT,A,2018,100.5605561,E
PRT,TERMTRADE,TOT,RT,A,2019,101.2154179,E
SVK,TERMTRADE,TOT,RT,A,1999,107.9672044,
SVK,TERMTRADE,TOT,RT,A,2000,111.9246614,
SVK,TERMTRADE,TOT,RT,A,2001,110.7356549,
SVK,TERMTRADE,TOT,RT,A,2002,110.4456277,
SVK,TERMTRADE,TOT,RT,A,2003,110.1265942,
SVK,TERMTRADE,TOT,RT,A,2004,109.8019968,
SVK,TERMTRADE,TOT,RT,A,2005,109.8154768,
SVK,TERMTRADE,TOT,RT,A,2006,108.2682991,
SVK,TERMTRADE,TOT,RT,A,2007,107.0427222,
SVK,TERMTRADE,TOT,RT,A,2008,105.2910472,
SVK,TERMTRADE,TOT,RT,A,2009,104.095033,
SVK,TERMTRADE,TOT,RT,A,2010,103.2991047,
SVK,TERMTRADE,TOT,RT,A,2011,101.9216784,
SVK,TERMTRADE,TOT,RT,A,2012,100.6609992,
SVK,TERMTRADE,TOT,RT,A,2013,100.2131943,
SVK,TERMTRADE,TOT,RT,A,2014,100.2670993,
SVK,TERMTRADE,TOT,RT,A,2015,100,
SVK,TERMTRADE,TOT,RT,A,2016,99.61217593,
SVK,TERMTRADE,TOT,RT,A,2017,99.05934597,
SVK,TERMTRADE,TOT,RT,A,2018,98.47730291,
SVK,TERMTRADE,TOT,RT,A,2019,98.29606262,
ESP,TERMTRADE,TOT,RT,A,1999,99.39603882,
ESP,TERMTRADE,TOT,RT,A,2000,95.92506036,
ESP,TERMTRADE,TOT,RT,A,2001,97.59375213,
ESP,TERMTRADE,TOT,RT,A,2002,100.378658,
ESP,TERMTRADE,TOT,RT,A,2003,101.7183564,
ESP,TERMTRADE,TOT,RT,A,2004,101.3905636,
ESP,TERMTRADE,TOT,RT,A,2005,102.2661715,
ESP,TERMTRADE,TOT,RT,A,2006,102.7975879,
ESP,TERMTRADE,TOT,RT,A,2007,103.6857464,
ESP,TERMTRADE,TOT,RT,A,2008,102.0054974,
ESP,TERMTRADE,TOT,RT,A,2009,106.7061496,
ESP,TERMTRADE,TOT,RT,A,2010,103.7333543,
ESP,TERMTRADE,TOT,RT,A,2011,100.0309476,
ESP,TERMTRADE,TOT,RT,A,2012,98.94281025,
ESP,TERMTRADE,TOT,RT,A,2013,100.338492,
ESP,TERMTRADE,TOT,RT,A,2014,99.51170246,
ESP,TERMTRADE,TOT,RT,A,2015,100,
ESP,TERMTRADE,TOT,RT,A,2016,100.4294196,
ESP,TERMTRADE,TOT,RT,A,2017,99.61063914,E
ESP,TERMTRADE,TOT,RT,A,2018,98.00198957,E
ESP,TERMTRADE,TOT,RT,A,2019,97.11652122,E
EST,TERMTRADE,TOT,RT,A,1999,81.01815502,
EST,TERMTRADE,TOT,RT,A,2000,83.20525044,
EST,TERMTRADE,TOT,RT,A,2001,86.93871344,
EST,TERMTRADE,TOT,RT,A,2002,90.41497767,
EST,TERMTRADE,TOT,RT,A,2003,91.92251784,
EST,TERMTRADE,TOT,RT,A,2004,92.61715533,
EST,TERMTRADE,TOT,RT,A,2005,94.35721415,
EST,TERMTRADE,TOT,RT,A,2006,96.60120635,
EST,TERMTRADE,TOT,RT,A,2007,98.56160844,
EST,TERMTRADE,TOT,RT,A,2008,98.73535471,
EST,TERMTRADE,TOT,RT,A,2009,99.11792389,
EST,TERMTRADE,TOT,RT,A,2010,97.17804883,
EST,TERMTRADE,TOT,RT,A,2011,97.57476997,
EST,TERMTRADE,TOT,RT,A,2012,97.10912298,
EST,TERMTRADE,TOT,RT,A,2013,98.0266464,
EST,TERMTRADE,TOT,RT,A,2014,99.53439986,
EST,TERMTRADE,TOT,RT,A,2015,100,
EST,TERMTRADE,TOT,RT,A,2016,101.174556,
EST,TERMTRADE,TOT,RT,A,2017,100.6344497,
EST,TERMTRADE,TOT,RT,A,2018,100.4123373,
EST,TERMTRADE,TOT,RT,A,2019,100.1425596,
SVN,TERMTRADE,TOT,RT,A,1999,103.2732584,
SVN,TERMTRADE,TOT,RT,A,2000,100.0556861,
SVN,TERMTRADE,TOT,RT,A,2001,101.7811304,
SVN,TERMTRADE,TOT,RT,A,2002,103.7151237,
SVN,TERMTRADE,TOT,RT,A,2003,104.3598092,
SVN,TERMTRADE,TOT,RT,A,2004,103.1580102,
SVN,TERMTRADE,TOT,RT,A,2005,100.9604794,
SVN,TERMTRADE,TOT,RT,A,2006,100.4162582,
SVN,TERMTRADE,TOT,RT,A,2007,101.3309634,
SVN,TERMTRADE,TOT,RT,A,2008,100.0461403,
SVN,TERMTRADE,TOT,RT,A,2009,103.5070687,
SVN,TERMTRADE,TOT,RT,A,2010,99.3669675,
SVN,TERMTRADE,TOT,RT,A,2011,98.00628777,
SVN,TERMTRADE,TOT,RT,A,2012,96.96726418,
SVN,TERMTRADE,TOT,RT,A,2013,97.75290504,
SVN,TERMTRADE,TOT,RT,A,2014,98.74956696,
SVN,TERMTRADE,TOT,RT,A,2015,100,
SVN,TERMTRADE,TOT,RT,A,2016,100.8303887,
SVN,TERMTRADE,TOT,RT,A,2017,100.3295696,
SVN,TERMTRADE,TOT,RT,A,2018,100.1684856,
SVN,TERMTRADE,TOT,RT,A,2019,100.5842266,
LVA,TERMTRADE,TOT,RT,A,1999,100.4668954,
LVA,TERMTRADE,TOT,RT,A,2000,94.85598007,
LVA,TERMTRADE,TOT,RT,A,2001,96.15412555,
LVA,TERMTRADE,TOT,RT,A,2002,93.71048834,
LVA,TERMTRADE,TOT,RT,A,2003,95.56942685,
LVA,TERMTRADE,TOT,RT,A,2004,98.01933233,
LVA,TERMTRADE,TOT,RT,A,2005,97.0846186,
LVA,TERMTRADE,TOT,RT,A,2006,96.50906404,
LVA,TERMTRADE,TOT,RT,A,2007,101.0526104,
LVA,TERMTRADE,TOT,RT,A,2008,99.27872812,
LVA,TERMTRADE,TOT,RT,A,2009,99.45770759,
LVA,TERMTRADE,TOT,RT,A,2010,99.56747027,
LVA,TERMTRADE,TOT,RT,A,2011,102.5880388,
LVA,TERMTRADE,TOT,RT,A,2012,99.7238054,
LVA,TERMTRADE,TOT,RT,A,2013,100.2997394,
LVA,TERMTRADE,TOT,RT,A,2014,99.41474777,
LVA,TERMTRADE,TOT,RT,A,2015,100,
LVA,TERMTRADE,TOT,RT,A,2016,103.0268561,
LVA,TERMTRADE,TOT,RT,A,2017,103.4919745,
LVA,TERMTRADE,TOT,RT,A,2018,105.3473927,
LVA,TERMTRADE,TOT,RT,A,2019,106.1563807,
LTU,TERMTRADE,TOT,RT,A,1999,86.84498102,
LTU,TERMTRADE,TOT,RT,A,2000,91.43674971,
LTU,TERMTRADE,TOT,RT,A,2001,91.07831073,
LTU,TERMTRADE,TOT,RT,A,2002,91.37271012,
LTU,TERMTRADE,TOT,RT,A,2003,91.3672911,
LTU,TERMTRADE,TOT,RT,A,2004,99.20764742,
LTU,TERMTRADE,TOT,RT,A,2005,100.2921787,
LTU,TERMTRADE,TOT,RT,A,2006,97.4177578,
LTU,TERMTRADE,TOT,RT,A,2007,98.31026016,
LTU,TERMTRADE,TOT,RT,A,2008,101.8632194,
LTU,TERMTRADE,TOT,RT,A,2009,97.96237326,
LTU,TERMTRADE,TOT,RT,A,2010,98.57776392,B
LTU,TERMTRADE,TOT,RT,A,2011,97.77059516,
LTU,TERMTRADE,TOT,RT,A,2012,96.93631865,
LTU,TERMTRADE,TOT,RT,A,2013,96.65465048,
LTU,TERMTRADE,TOT,RT,A,2014,97.47186704,
LTU,TERMTRADE,TOT,RT,A,2015,100,
LTU,TERMTRADE,TOT,RT,A,2016,101.6811417,
LTU,TERMTRADE,TOT,RT,A,2017,101.9651866,
LTU,TERMTRADE,TOT,RT,A,2018,100.994432,
LTU,TERMTRADE,TOT,RT,A,2019,102.5848617,
